Category,Years_Experience,Cluster,Experience_Level,Senior_Keywords,Entry_Keywords,Leadership_Keywords
Data Science,3.0046634898685873,1,Entry-Level,1,0,0
Data Science,3.5065208850214225,1,Entry-Level,0,0,0
Data Science,4.980053934144499,1,Entry-Level,1,0,0
Data Science,9.080285775652426,0,Mid-Level,3,1,1
Data Science,0.7324229226328327,1,Entry-Level,0,2,0
Data Science,2.2985492769353026,1,Entry-Level,1,1,0
Data Science,6.545665747604749,1,Entry-Level,1,0,0
Data Science,13.682562616447903,2,Senior-Level,2,0,2
Data Science,3.8243182117045467,1,Entry-Level,0,0,1
Data Science,13.074864701390588,2,Senior-Level,3,2,4
Data Science,3.0046634898685873,1,Entry-Level,1,0,0
Data Science,3.5065208850214225,1,Entry-Level,0,0,0
Data Science,4.980053934144499,1,Entry-Level,1,0,0
Data Science,9.080285775652426,0,Mid-Level,3,1,1
Data Science,0.7324229226328327,1,Entry-Level,0,2,0
Data Science,2.2985492769353026,1,Entry-Level,1,1,0
Data Science,6.545665747604749,1,Entry-Level,1,0,0
Data Science,13.682562616447903,2,Senior-Level,2,0,2
Data Science,3.8243182117045467,1,Entry-Level,0,0,1
Data Science,13.074864701390588,2,Senior-Level,3,2,4
Data Science,3.0046634898685873,1,Entry-Level,1,0,0
Data Science,3.5065208850214225,1,Entry-Level,0,0,0
Data Science,4.980053934144499,1,Entry-Level,1,0,0
Data Science,9.080285775652426,0,Mid-Level,3,1,1
Data Science,0.7324229226328327,1,Entry-Level,0,2,0
Data Science,2.2985492769353026,1,Entry-Level,1,1,0
Data Science,6.545665747604749,1,Entry-Level,1,0,0
Data Science,13.682562616447903,2,Senior-Level,2,0,2
Data Science,3.8243182117045467,1,Entry-Level,0,0,1
Data Science,13.074864701390588,2,Senior-Level,3,2,4
Data Science,3.0046634898685873,1,Entry-Level,1,0,0
Data Science,3.5065208850214225,1,Entry-Level,0,0,0
Data Science,4.980053934144499,1,Entry-Level,1,0,0
Data Science,9.080285775652426,0,Mid-Level,3,1,1
Data Science,0.7324229226328327,1,Entry-Level,0,2,0
Data Science,2.2985492769353026,1,Entry-Level,1,1,0
Data Science,6.545665747604749,1,Entry-Level,1,0,0
Data Science,13.682562616447903,2,Senior-Level,2,0,2
Data Science,3.8243182117045467,1,Entry-Level,0,0,1
Data Science,13.074864701390588,2,Senior-Level,3,2,4
HR,2.222661656010489,1,Entry-Level,0,0,0
HR,3.214889713448537,1,Entry-Level,0,1,0
HR,3.3112357080443413,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,3.0260361515248144,1,Entry-Level,0,0,0
HR,3.5335879957459824,1,Entry-Level,0,0,0
HR,2.3780543877535916,1,Entry-Level,2,2,1
HR,1.2316197267895017,1,Entry-Level,0,2,0
HR,4.483379141974868,1,Entry-Level,1,0,1
HR,3.2520290035824573,1,Entry-Level,0,0,0
HR,2.222661656010489,1,Entry-Level,0,0,0
HR,3.214889713448537,1,Entry-Level,0,1,0
HR,3.3112357080443413,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,3.0260361515248144,1,Entry-Level,0,0,0
HR,3.5335879957459824,1,Entry-Level,0,0,0
HR,2.3780543877535916,1,Entry-Level,2,2,1
HR,1.2316197267895017,1,Entry-Level,0,2,0
HR,4.483379141974868,1,Entry-Level,1,0,1
HR,3.2520290035824573,1,Entry-Level,0,0,0
HR,2.222661656010489,1,Entry-Level,0,0,0
HR,3.214889713448537,1,Entry-Level,0,1,0
HR,3.3112357080443413,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,3.0260361515248144,1,Entry-Level,0,0,0
HR,3.5335879957459824,1,Entry-Level,0,0,0
HR,2.3780543877535916,1,Entry-Level,2,2,1
HR,1.2316197267895017,1,Entry-Level,0,2,0
HR,4.483379141974868,1,Entry-Level,1,0,1
HR,3.2520290035824573,1,Entry-Level,0,0,0
HR,2.222661656010489,1,Entry-Level,0,0,0
HR,3.214889713448537,1,Entry-Level,0,1,0
HR,3.3112357080443413,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,2.195689113019088,1,Entry-Level,0,0,0
HR,3.0260361515248144,1,Entry-Level,0,0,0
HR,3.5335879957459824,1,Entry-Level,0,0,0
HR,2.3780543877535916,1,Entry-Level,2,2,1
HR,1.2316197267895017,1,Entry-Level,0,2,0
HR,4.483379141974868,1,Entry-Level,1,0,1
HR,3.2520290035824573,1,Entry-Level,0,0,0
Advocate,2.1375756024965966,1,Entry-Level,0,0,0
Advocate,2.4838510499602693,1,Entry-Level,0,0,0
Advocate,2.6743789947039556,1,Entry-Level,0,0,0
Advocate,3.4633128304311036,1,Entry-Level,1,1,0
Advocate,12.0,2,Senior-Level,1,1,1
Advocate,2.209909590750231,1,Entry-Level,0,0,0
Advocate,0.6200035820535983,1,Entry-Level,0,2,0
Advocate,3.651526840426831,1,Entry-Level,0,0,1
Advocate,3.355607344291017,1,Entry-Level,0,0,1
Advocate,3.560051665506964,1,Entry-Level,0,0,0
Advocate,2.1375756024965966,1,Entry-Level,0,0,0
Advocate,2.4838510499602693,1,Entry-Level,0,0,0
Advocate,2.6743789947039556,1,Entry-Level,0,0,0
Advocate,3.4633128304311036,1,Entry-Level,1,1,0
Advocate,12.0,2,Senior-Level,1,1,1
Advocate,2.209909590750231,1,Entry-Level,0,0,0
Advocate,0.6200035820535983,1,Entry-Level,0,2,0
Advocate,3.651526840426831,1,Entry-Level,0,0,1
Advocate,3.355607344291017,1,Entry-Level,0,0,1
Advocate,3.560051665506964,1,Entry-Level,0,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Arts,4.164159420160514,1,Entry-Level,2,1,1
Arts,3.043117452651573,1,Entry-Level,0,0,1
Arts,20.0,2,Senior-Level,6,1,1
Arts,2.8749906134840857,1,Entry-Level,0,0,0
Arts,3.8476834569736993,1,Entry-Level,0,0,0
Arts,4.210163397572215,1,Entry-Level,2,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,3.0244730323058495,1,Entry-Level,0,0,0
Web Designing,6.368329056497476,1,Entry-Level,1,1,0
Web Designing,2.9390538276055613,1,Entry-Level,0,0,0
Web Designing,2.7036764878872166,1,Entry-Level,1,2,1
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Mechanical Engineer,11.585252698928569,0,Mid-Level,5,1,2
Mechanical Engineer,2.0562057314580615,1,Entry-Level,0,1,1
Mechanical Engineer,3.3041423113872526,1,Entry-Level,0,0,0
Mechanical Engineer,1.0,1,Entry-Level,1,0,1
Mechanical Engineer,3.737957990846117,1,Entry-Level,0,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Sales,4.123869373880054,1,Entry-Level,2,0,0
Sales,7.616696642866162,1,Entry-Level,2,0,1
Sales,7.322281655047595,1,Entry-Level,2,0,1
Sales,9.66097702962299,2,Senior-Level,5,0,0
Sales,6.077660245953366,1,Entry-Level,2,0,0
Health and fitness,3.601209663731272,1,Entry-Level,0,0,0
Health and fitness,3.979084939843791,1,Entry-Level,0,1,1
Health and fitness,4.801198284746455,1,Entry-Level,1,1,2
Health and fitness,11.991069923493152,2,Senior-Level,3,1,1
Health and fitness,6.29989066976513,1,Entry-Level,1,0,1
Health and fitness,11.360880489124662,2,Senior-Level,2,0,1
Health and fitness,3.601209663731272,1,Entry-Level,0,0,0
Health and fitness,3.979084939843791,1,Entry-Level,0,1,1
Health and fitness,4.801198284746455,1,Entry-Level,1,1,2
Health and fitness,11.991069923493152,2,Senior-Level,3,1,1
Health and fitness,6.29989066976513,1,Entry-Level,1,0,1
Health and fitness,11.360880489124662,2,Senior-Level,2,0,1
Health and fitness,3.601209663731272,1,Entry-Level,0,0,0
Health and fitness,3.979084939843791,1,Entry-Level,0,1,1
Health and fitness,4.801198284746455,1,Entry-Level,1,1,2
Health and fitness,11.991069923493152,2,Senior-Level,3,1,1
Health and fitness,6.29989066976513,1,Entry-Level,1,0,1
Health and fitness,11.360880489124662,2,Senior-Level,2,0,1
Health and fitness,3.601209663731272,1,Entry-Level,0,0,0
Health and fitness,3.979084939843791,1,Entry-Level,0,1,1
Health and fitness,4.801198284746455,1,Entry-Level,1,1,2
Health and fitness,11.991069923493152,2,Senior-Level,3,1,1
Health and fitness,6.29989066976513,1,Entry-Level,1,0,1
Health and fitness,11.360880489124662,2,Senior-Level,2,0,1
Health and fitness,3.601209663731272,1,Entry-Level,0,0,0
Health and fitness,3.979084939843791,1,Entry-Level,0,1,1
Health and fitness,4.801198284746455,1,Entry-Level,1,1,2
Health and fitness,11.991069923493152,2,Senior-Level,3,1,1
Health and fitness,6.29989066976513,1,Entry-Level,1,0,1
Health and fitness,11.360880489124662,2,Senior-Level,2,0,1
Civil Engineer,13.9180666785504,0,Mid-Level,2,1,1
Civil Engineer,3.889299986843957,1,Entry-Level,0,0,0
Civil Engineer,9.246321876435267,2,Senior-Level,1,0,1
Civil Engineer,14.143886757139505,2,Senior-Level,3,1,1
Civil Engineer,10.908147061288766,2,Senior-Level,3,0,1
Civil Engineer,3.3840547680272364,1,Entry-Level,0,0,0
Civil Engineer,13.9180666785504,0,Mid-Level,2,1,1
Civil Engineer,3.889299986843957,1,Entry-Level,0,0,0
Civil Engineer,9.246321876435267,2,Senior-Level,1,0,1
Civil Engineer,14.143886757139505,2,Senior-Level,3,1,1
Civil Engineer,10.908147061288766,2,Senior-Level,3,0,1
Civil Engineer,3.3840547680272364,1,Entry-Level,0,0,0
Civil Engineer,13.9180666785504,0,Mid-Level,2,1,1
Civil Engineer,3.889299986843957,1,Entry-Level,0,0,0
Civil Engineer,9.246321876435267,2,Senior-Level,1,0,1
Civil Engineer,14.143886757139505,2,Senior-Level,3,1,1
Civil Engineer,10.908147061288766,2,Senior-Level,3,0,1
Civil Engineer,3.3840547680272364,1,Entry-Level,0,0,0
Civil Engineer,13.9180666785504,0,Mid-Level,2,1,1
Civil Engineer,3.889299986843957,1,Entry-Level,0,0,0
Civil Engineer,9.246321876435267,2,Senior-Level,1,0,1
Civil Engineer,14.143886757139505,2,Senior-Level,3,1,1
Civil Engineer,10.908147061288766,2,Senior-Level,3,0,1
Civil Engineer,3.3840547680272364,1,Entry-Level,0,0,0
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
Java Developer,6.584500015734788,1,Entry-Level,1,0,1
Java Developer,3.342346432795657,1,Entry-Level,0,0,1
Java Developer,2.236551600622944,1,Entry-Level,0,1,1
Java Developer,3.275222458305957,1,Entry-Level,0,0,1
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,3.9969006656352617,1,Entry-Level,0,0,0
Java Developer,2.2643023146729417,1,Entry-Level,0,0,0
Java Developer,13.086595069450563,2,Senior-Level,2,0,1
Java Developer,2.1805893689816083,1,Entry-Level,1,2,0
Java Developer,7.815050329006963,1,Entry-Level,1,0,2
Java Developer,2.0,1,Entry-Level,0,0,1
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
Java Developer,6.584500015734788,1,Entry-Level,1,0,1
Java Developer,3.342346432795657,1,Entry-Level,0,0,1
Java Developer,2.236551600622944,1,Entry-Level,0,1,1
Java Developer,3.275222458305957,1,Entry-Level,0,0,1
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,3.9969006656352617,1,Entry-Level,0,0,0
Java Developer,2.2643023146729417,1,Entry-Level,0,0,0
Java Developer,13.086595069450563,2,Senior-Level,2,0,1
Java Developer,2.1805893689816083,1,Entry-Level,1,2,0
Java Developer,7.815050329006963,1,Entry-Level,1,0,2
Java Developer,2.0,1,Entry-Level,0,0,1
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
Java Developer,6.584500015734788,1,Entry-Level,1,0,1
Java Developer,3.342346432795657,1,Entry-Level,0,0,1
Java Developer,2.236551600622944,1,Entry-Level,0,1,1
Java Developer,3.275222458305957,1,Entry-Level,0,0,1
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,3.9969006656352617,1,Entry-Level,0,0,0
Java Developer,2.2643023146729417,1,Entry-Level,0,0,0
Java Developer,13.086595069450563,2,Senior-Level,2,0,1
Java Developer,2.1805893689816083,1,Entry-Level,1,2,0
Java Developer,7.815050329006963,1,Entry-Level,1,0,2
Java Developer,2.0,1,Entry-Level,0,0,1
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
Java Developer,6.584500015734788,1,Entry-Level,1,0,1
Java Developer,3.342346432795657,1,Entry-Level,0,0,1
Java Developer,2.236551600622944,1,Entry-Level,0,1,1
Java Developer,3.275222458305957,1,Entry-Level,0,0,1
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,3.9969006656352617,1,Entry-Level,0,0,0
Java Developer,2.2643023146729417,1,Entry-Level,0,0,0
Java Developer,13.086595069450563,2,Senior-Level,2,0,1
Java Developer,2.1805893689816083,1,Entry-Level,1,2,0
Java Developer,7.815050329006963,1,Entry-Level,1,0,2
Java Developer,2.0,1,Entry-Level,0,0,1
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
Java Developer,6.584500015734788,1,Entry-Level,1,0,1
Java Developer,3.342346432795657,1,Entry-Level,0,0,1
Java Developer,2.236551600622944,1,Entry-Level,0,1,1
Java Developer,3.275222458305957,1,Entry-Level,0,0,1
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,2.4376572015665996,1,Entry-Level,0,1,0
Java Developer,3.9969006656352617,1,Entry-Level,0,0,0
Java Developer,2.2643023146729417,1,Entry-Level,0,0,0
Java Developer,13.086595069450563,2,Senior-Level,2,0,1
Java Developer,2.1805893689816083,1,Entry-Level,1,2,0
Java Developer,7.815050329006963,1,Entry-Level,1,0,2
Java Developer,2.0,1,Entry-Level,0,0,1
Java Developer,3.1196034526721936,1,Entry-Level,0,0,0
Java Developer,3.235196278778796,1,Entry-Level,0,1,1
